system:index,CLASS_2016,CLASS_2017,CLASS_2018,CLASS_2019,CLASS_2020,CLASS_2021,CLASS_2022,CLASS_2023,LAT,LON,PESO_AMOS,bacia,classification_2016,classification_2017,classification_2018,classification_2019,classification_2020,classification_2021,classification_2022,classification_2023,classification_2024,classification_2025,.geo
1_1_1_2_00000000000000001799_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-8.041087453,-41.55736084,"104764,166666667",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.557277769002624,-8.040954855446454]}"
1_1_1_2_000000000000000017c4_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-8.204670667,-40.73594135,"104764,166666667",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.73585827320373,-8.204538068684618]}"
1_1_1_2_000000000000000017f8_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,PASTAGEM,,-8.112234024,-41.03831427,"104764,166666667",7438,4,4,4,4,4,4,21,21,4,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.038231197838364,-8.11210142594872]}"
1_1_1_2_0000000000000000180f_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-8.161551533,-41.2207621,"104764,166666667",7438,4,4,4,4,4,4,4,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.22067903204304,-8.161418935046882]}"
1_1_1_2_00000000000000001813_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-8.23188962,-40.8426612,"104764,166666667",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.84257812895713,-8.23175702179344]}"
1_1_1_2_0000000000000000181d_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-8.213833483,-40.88146842,"104764,166666667",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.881385349231095,-8.213700884582638]}"
1_1_1_2_0000000000000000182b_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-8.573339259,-41.20055001,"104167,321100917",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.20046693815035,-8.573206661287271]}"
1_1_1_2_0000000000000000182f_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-8.366097923,-41.30484441,"104167,321100917",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.304761342636624,-8.365965325240897]}"
1_1_1_2_0000000000000000183a_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-8.355857129,-41.19462113,"104167,321100917",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.19453805727516,-8.355724531001934]}"
1_1_1_2_00000000000000001846_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-8.336184024,-40.90329748,"104167,321100917",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.9032144106352,-8.336051426279717]}"
