area,classe,year,Bacia,percent
123.99338182329969,33,2018,773,0.03
8798.241921408842,3,2019,773,2.34
63682.605456484765,4,2019,773,16.94
145.22615168445097,12,2019,773,0.04
291897.5482084931,21,2019,773,77.66
11189.13691181675,25,2019,773,2.98
151.35736044337852,33,2019,773,0.04
9129.325621270713,3,2020,773,2.43
62928.07538480699,4,2020,773,16.74
167.62258350219753,12,2020,773,0.04
292057.0206636485,21,2020,773,77.7
11374.887777736654,25,2020,773,3.03
207.18397936071068,33,2020,773,0.06
8875.090690410787,3,2021,773,2.36
60823.17562518923,4,2021,773,16.18
252.0384098895379,12,2021,773,0.07
293969.37296608795,21,2021,773,78.21
11700.901615704484,25,2021,773,3.11
243.53670304993867,33,2021,773,0.06
9097.19543484204,3,2022,773,2.42
62716.51232093069,4,2022,773,16.69
244.08151000550507,12,2022,773,0.06
291708.9438002693,21,2022,773,77.61
11733.444454170092,25,2022,773,3.12
363.9384901125677,33,2022,773,0.1
9054.166771238104,3,2023,773,2.41
62228.24208536838,4,2023,773,16.56
176.68574985607657,12,2023,773,0.05
291655.79755932366,21,2023,773,77.6
12433.175390971584,25,2023,773,3.31
316.0484535766602,33,2023,773,0.08
23820.79325988821,3,2016,7612,1.41
1336936.716563655,4,2016,7612,79.17
19349.73639909098,12,2016,7612,1.15
295751.037225957,21,2016,7612,17.51
7167.795913982272,25,2016,7612,0.42
5588.593730557554,33,2016,7612,0.33
23986.56236993461,3,2017,7612,1.42
1339262.3832168805,4,2017,7612,79.31
21412.48389291556,12,2017,7612,1.27
290083.6823193884,21,2017,7612,17.18
7687.528934497016,25,2017,7612,0.46
6182.032359467694,33,2017,7612,0.37
24436.90577139943,3,2018,7612,1.45
1338793.3399819685,4,2018,7612,79.28
26766.2804612418,12,2018,7612,1.59
281607.70998225827,21,2018,7612,16.68
8961.022634627148,25,2018,7612,0.53
8049.414261659572,33,2018,7612,0.48
24551.117707068373,3,2019,7612,1.45
1338876.0960506755,4,2019,7612,79.29
31975.07977448916,12,2019,7612,1.89
275235.7313314512,21,2019,7612,16.3
9634.4330930531,25,2019,7612,0.57
8342.21513637297,33,2019,7612,0.49
24355.50371893971,3,2020,7612,1.44
1338202.515965633,4,2020,7612,79.25
34012.73003665669,12,2020,7612,2.01
270050.82081624144,21,2020,7612,15.99
10273.654656014693,25,2020,7612,0.61
11719.447899631705,33,2020,7612,0.69
24441.12316408132,3,2021,7612,1.45
1331634.8440189762,4,2021,7612,78.86
33612.730705788315,12,2021,7612,1.99
277523.4348665733,21,2021,7612,16.43
10502.19765683932,25,2021,7612,0.62
10900.34268080567,33,2021,7612,0.65
24402.74760765572,3,2022,7612,1.45
1316042.9955477405,4,2022,7612,77.94
31394.92292855318,12,2022,7612,1.86
295042.97532633203,21,2022,7612,17.47
9969.20919366774,25,2022,7612,0.59
11761.822489118127,33,2022,7612,0.7
24351.80883838366,3,2023,7612,1.44
1320780.4836089995,4,2023,7612,78.22
22130.12739988606,12,2023,7612,1.31
301007.3445925889,21,2023,7612,17.83
9104.495500902096,25,2023,7612,0.54
11240.413152351824,33,2023,7612,0.67
5015.002802069967,3,2016,7613,0.29
1050850.751882977,4,2016,7613,60.93
4766.9032928323895,12,2016,7613,0.28
623324.4494148623,21,2016,7613,36.14
20640.27324224888,25,2016,7613,1.2
19995.51069111677,33,2016,7613,1.16
5343.436332593635,3,2017,7613,0.31
1043671.4730852558,4,2017,7613,60.52
5724.730894677618,12,2017,7613,0.33
630003.0362638825,21,2017,7613,36.53
20461.291998533616,25,2017,7613,1.19
19388.92275119452,33,2017,7613,1.12
5974.130050678574,3,2018,7613,0.35
1035069.0184598404,4,2018,7613,60.02
6752.642679592578,12,2018,7613,0.39
633548.6676048961,21,2018,7613,36.74
22478.943615758228,25,2018,7613,1.3
20769.488915324284,33,2018,7613,1.2
6181.5344555376205,3,2019,7613,0.36
1007910.7993369732,4,2019,7613,58.44
8477.854146897627,12,2019,7613,0.49
657728.0608371997,21,2019,7613,38.14
23373.394218720285,25,2019,7613,1.36
20921.248330834896,33,2019,7613,1.21
5688.007710009744,3,2020,7613,0.33
996857.5652149592,4,2020,7613,57.8
9220.921050997016,12,2020,7613,0.53
665496.4576376954,21,2020,7613,38.59
23995.92138694531,25,2020,7613,1.39
23334.018325625977,33,2020,7613,1.35
5603.330023724335,3,2021,7613,0.32
987647.90961413,4,2021,7613,57.27
9700.470420834296,12,2021,7613,0.56
674345.6845417573,21,2021,7613,39.1
24503.67998974536,25,2021,7613,1.42
22791.816736004905,33,2021,7613,1.32
5184.370734997348,3,2022,7613,0.3
987700.728702272,4,2022,7613,57.27
8778.091135930454,12,2022,7613,0.51
674456.5685565488,21,2022,7613,39.11
23397.732902308355,25,2022,7613,1.36
25075.39929417591,33,2022,7613,1.45
